CalendarYear,CalendarPeriod,CalendarWeek,ServiceGroup4,ProdGrp1,OpJourneys on selDates,OpMiles on selDates,
2016,2016/P01,2016/W05,Inter7City,Peak,"62,030","3,214,048",
2016,2016/P01,2016/W05,Scenic,Peak,"20,240","582,070",
2016,2016/P01,2016/W05,West Suburban,Peak,"287,647","3,457,257",
2016,2016/P02,2016/W06,East Suburban,Commuter,"71,705","1,214,743",
2016,2016/P02,2016/W06,eXpress,Commuter,"38,081","1,126,188",
2016,2016/P02,2016/W06,Inter7City,Commuter,"30,617","832,110",
2016,2016/P02,2016/W06,Scenic,Commuter,"11,122","208,082",
2016,2016/P02,2016/W06,West Suburban,Commuter,"350,855","3,853,527",
2016,2016/P02,2016/W06,East Suburban,Off-Peak,"71,112","1,398,629",
2016,2016/P02,2016/W06,eXpress,Off-Peak,"57,736","2,156,559",
2016,2016/P02,2016/W06,Inter7City,Off-Peak,"93,477","6,417,228",
2016,2016/P02,2016/W06,Scenic,Off-Peak,"30,326","1,291,974",
2016,2016/P02,2016/W06,West Suburban,Off-Peak,"496,890","5,113,383",
2016,2016/P02,2016/W06,East Suburban,Peak,"66,764","1,247,067",
2016,2016/P02,2016/W06,eXpress,Peak,"35,547","1,265,669",
2016,2016/P02,2016/W06,Inter7City,Peak,"61,625","3,185,562",
2016,2016/P02,2016/W06,Scenic,Peak,"20,883","628,714",
2016,2016/P02,2016/W06,West Suburban,Peak,"284,387","3,418,665",
2016,2016/P02,2016/W07,East Suburban,Commuter,"68,437","1,170,769",
2016,2016/P02,2016/W07,eXpress,Commuter,"34,835","985,644",
2016,2016/P02,2016/W07,Inter7City,Commuter,"30,913","843,077",
2016,2016/P02,2016/W07,Scenic,Commuter,"10,842","203,943",
2016,2016/P02,2016/W07,West Suburban,Commuter,"348,368","3,828,465",
2016,2016/P02,2016/W07,East Suburban,Off-Peak,"70,524","1,367,762",
2016,2016/P02,2016/W07,eXpress,Off-Peak,"59,885","2,272,167",
2016,2016/P02,2016/W07,Inter7City,Off-Peak,"93,682","6,287,458",
2016,2016/P02,2016/W07,Scenic,Off-Peak,"36,278","1,489,688",
2016,2016/P02,2016/W07,West Suburban,Off-Peak,"494,851","5,123,562",
2016,2016/P02,2016/W07,East Suburban,Peak,"64,931","1,206,979",
2016,2016/P02,2016/W07,eXpress,Peak,"34,379","1,218,234",
2016,2016/P02,2016/W07,Inter7City,Peak,"62,821","3,252,886",
2016,2016/P02,2016/W07,Scenic,Peak,"21,267","677,454",
2016,2016/P02,2016/W07,West Suburban,Peak,"280,281","3,400,473",
2016,2016/P02,2016/W08,East Suburban,Commuter,"73,415","1,253,202",
2016,2016/P02,2016/W08,eXpress,Commuter,"35,312","990,781",
2016,2016/P02,2016/W08,Inter7City,Commuter,"31,056","828,164",
2016,2016/P02,2016/W08,Scenic,Commuter,"11,271","208,285",
2016,2016/P02,2016/W08,West Suburban,Commuter,"354,876","3,888,719",
2016,2016/P02,2016/W08,East Suburban,Off-Peak,"69,940","1,395,239",
2016,2016/P02,2016/W08,eXpress,Off-Peak,"58,729","2,193,291",
2016,2016/P02,2016/W08,Inter7City,Off-Peak,"89,941","6,124,268",
2016,2016/P02,2016/W08,Scenic,Off-Peak,"30,958","1,251,871",
2016,2016/P02,2016/W08,West Suburban,Off-Peak,"499,878","5,180,708",
2016,2016/P02,2016/W08,East Suburban,Peak,"68,909","1,287,496",
2016,2016/P02,2016/W08,eXpress,Peak,"37,410","1,337,437",
2016,2016/P02,2016/W08,Inter7City,Peak,"63,116","3,272,144",
2016,2016/P02,2016/W08,Scenic,Peak,"20,874","623,801",
2016,2016/P02,2016/W08,West Suburban,Peak,"292,163","3,534,749",
2016,2016/P02,2016/W09,East Suburban,Commuter,"75,849","1,298,875",
2016,2016/P02,2016/W09,eXpress,Commuter,"37,134","1,051,442",
2016,2016/P02,2016/W09,Inter7City,Commuter,"32,125","854,722",
2016,2016/P02,2016/W09,Scenic,Commuter,"11,662","216,414",
2016,2016/P02,2016/W09,West Suburban,Commuter,"360,961","3,955,569",
2016,2016/P02,2016/W09,East Suburban,Off-Peak,"69,749","1,380,984",
2016,2016/P02,2016/W09,eXpress,Off-Peak,"59,451","2,232,092",
2016,2016/P02,2016/W09,Inter7City,Off-Peak,"91,592","6,224,614",
2016,2016/P02,2016/W09,Scenic,Off-Peak,"31,615","1,295,218",
2016,2016/P02,2016/W09,West Suburban,Off-Peak,"496,844","5,237,679",
2016,2016/P02,2016/W09,East Suburban,Peak,"69,853","1,313,304",
2016,2016/P02,2016/W09,eXpress,Peak,"37,306","1,341,680",
2016,2016/P02,2016/W09,Inter7City,Peak,"63,600","3,288,724",
2016,2016/P02,2016/W09,Scenic,Peak,"20,993","625,544",
2016,2016/P02,2016/W09,West Suburban,Peak,"285,364","3,494,072",
2016,2016/P03,2016/W10,East Suburban,Commuter,"73,765","1,264,319",
2016,2016/P03,2016/W10,eXpress,Commuter,"36,011","1,016,907",
2016,2016/P03,2016/W10,Inter7City,Commuter,"31,067","835,466",
2016,2016/P03,2016/W10,Scenic,Commuter,"11,389","212,601",
2016,2016/P03,2016/W10,West Suburban,Commuter,"357,711","3,921,082",
2016,2016/P03,2016/W10,East Suburban,Off-Peak,"66,095","1,302,031",
2016,2016/P03,2016/W10,eXpress,Off-Peak,"57,592","2,189,797",
2016,2016/P03,2016/W10,Inter7City,Off-Peak,"89,251","6,206,771",
2016,2016/P03,2016/W10,Scenic,Off-Peak,"31,551","1,296,686",
2016,2016/P03,2016/W10,West Suburban,Off-Peak,"499,890","5,235,529",
2016,2016/P03,2016/W10,East Suburban,Peak,"67,483","1,259,001",
2016,2016/P03,2016/W10,eXpress,Peak,"36,818","1,326,031",
2016,2016/P03,2016/W10,Inter7City,Peak,"64,256","3,371,848",
2016,2016/P03,2016/W10,Scenic,Peak,"21,106","621,243",
2016,2016/P03,2016/W10,West Suburban,Peak,"290,776","3,556,947",
2016,2016/P03,2016/W11,East Suburban,Commuter,"72,200","1,229,280",
2016,2016/P03,2016/W11,eXpress,Commuter,"36,032","1,039,807",
2016,2016/P03,2016/W11,Inter7City,Commuter,"30,782","827,938",
2016,2016/P03,2016/W11,Scenic,Commuter,"10,990","202,972",
2016,2016/P03,2016/W11,West Suburban,Commuter,"347,128","3,824,913",
2016,2016/P03,2016/W11,East Suburban,Off-Peak,"74,106","1,534,355",
2016,2016/P03,2016/W11,eXpress,Off-Peak,"69,409","2,667,189",
2016,2016/P03,2016/W11,Inter7City,Off-Peak,"91,385","6,157,636",
2016,2016/P03,2016/W11,Scenic,Off-Peak,"34,025","1,407,964",
2016,2016/P03,2016/W11,West Suburban,Off-Peak,"536,193","5,596,128",
2016,2016/P03,2016/W11,East Suburban,Peak,"68,602","1,294,984",
2016,2016/P03,2016/W11,eXpress,Peak,"37,444","1,332,854",
2016,2016/P03,2016/W11,Inter7City,Peak,"64,189","3,403,325",
2016,2016/P03,2016/W11,Scenic,Peak,"22,285","665,554",
2016,2016/P03,2016/W11,West Suburban,Peak,"293,450","3,619,642",
2016,2016/P03,2016/W12,East Suburban,Commuter,"54,004","918,604",
2016,2016/P03,2016/W12,eXpress,Commuter,"24,031","673,303",
2016,2016/P03,2016/W12,Inter7City,Commuter,"24,231","649,164",
2016,2016/P03,2016/W12,Scenic,Commuter,"8,370","155,347",
2016,2016/P03,2016/W12,West Suburban,Commuter,"254,910","2,794,703",
2016,2016/P03,2016/W12,East Suburban,Off-Peak,"76,069","1,541,360",
2016,2016/P03,2016/W12,eXpress,Off-Peak,"49,299","1,867,666",
2016,2016/P03,2016/W12,Inter7City,Off-Peak,"87,160","5,784,538",
2016,2016/P03,2016/W12,Scenic,Off-Peak,"34,844","1,469,587",
2016,2016/P03,2016/W12,West Suburban,Off-Peak,"492,509","5,335,064",
2016,2016/P03,2016/W12,East Suburban,Peak,"66,119","1,262,982",
2016,2016/P03,2016/W12,eXpress,Peak,"27,830","950,403",
2016,2016/P03,2016/W12,Inter7City,Peak,"60,097","3,082,359",
2016,2016/P03,2016/W12,Scenic,Peak,"21,505","694,034",
2016,2016/P03,2016/W12,West Suburban,Peak,"265,855","3,431,360",
2016,2016/P03,2016/W13,East Suburban,Commuter,"42,749","731,371",
2016,2016/P03,2016/W13,eXpress,Commuter,"19,878","574,170",
2016,2016/P03,2016/W13,Inter7City,Commuter,"18,522","491,949",
2016,2016/P03,2016/W13,Scenic,Commuter,"6,863","129,301",
2016,2016/P03,2016/W13,West Suburban,Commuter,"216,493","2,370,073",
2016,2016/P03,2016/W13,East Suburban,Off-Peak,"47,588","944,577",
2016,2016/P03,2016/W13,eXpress,Off-Peak,"28,158","1,068,920",
2016,2016/P03,2016/W13,Inter7City,Off-Peak,"54,231","3,601,828",
2016,2016/P03,2016/W13,Scenic,Off-Peak,"21,614","926,004",
2016,2016/P03,2016/W13,West Suburban,Off-Peak,"300,624","3,162,122",
2016,2016/P03,2016/W13,East Suburban,Peak,"43,823","839,224",
2016,2016/P03,2016/W13,eXpress,Peak,"19,169","659,710",
2016,2016/P03,2016/W13,Inter7City,Peak,"41,908","2,227,315",
2016,2016/P03,2016/W13,Scenic,Peak,"14,131","494,816",
2016,2016/P03,2016/W13,West Suburban,Peak,"187,650","2,385,503",
2016,2016/P04,2016/W14,East Suburban,Commuter,"72,427","1,233,571",
2016,2016/P04,2016/W14,eXpress,Commuter,"31,801","925,124",
